song_id,artist_id,artist_name,album_id,album_name,ContentLanguage,IsExplicit,ReleaseDate,isrc,song_name,label,owner,albumArtist,Genre_,year,month,day,song_age,is_duplicate_of_title
193676959,2700,ahmed saad,193676958,ya bakhto,ara,FALSE,2/18/2022,EGA010545346,ya bakhto,mazzika,mazzika,ahmed saad,"mena, world",2022,2,18,3,FALSE
171411070,6222515,"alok, alan walker",171411069,headlights (feat. kiddo),eng,FALSE,2/18/2022,BCCNG2200023,headlights (feat. kiddo) [feat. kiddo],controversia,warner,"alok, alan walker",dance/electronic,2022,2,18,3,FALSE
171021226,1161194,tyler shaw,171021225,love you still (abcdefu romantic version),eng,FALSE,2/18/2022,CA9EP2200001,love you still (abcdefu romantic version),sony music canada,sony,tyler shaw,pop,2022,2,18,3,FALSE
173922938,165535,tony dize,173922913,fire regeton,spa,FALSE,2/18/2022,USUM70614169,quizas,ume - global clearing house,universal,various artists,"latin, south america",2022,2,18,3,TRUE
193677137,2700,ahmed saad,193677136,resala,ara,FALSE,2/18/2022,EGA010549683,resala,mazzika,mazzika,ahmed saad,"mena, world",2022,2,18,3,FALSE
171326198,2555262,finneas,171326162,top easy listening hits,eng,FALSE,2/17/2022,USUG12103246,love is pain,ume - global clearing house,universal,various artists,pop,2022,2,17,3,FALSE
171763009,6234348,cheb mourad mirocho,171763007,ghadni l3achk li da3,ara,FALSE,2/17/2022,QM4TW2282810,ghadni l3achk li da3 - نبغيها وراني حاصل,smati,orchard,cheb mourad mirocho,world,2022,2,17,3,FALSE
170712570,1456779,carmen soliman,170712569,kheira,ara,FALSE,2/16/2022,AEA102200002,kheira,sony music entertainment,sony,carmen soliman,"mena, world",2022,2,16,3,FALSE
192463030,4096363,reda el bahrawy,192463029,nas meny w men damy,ara,FALSE,2/16/2022,EGA010553972,nas meny w men damy,mazzika,mazzika,reda el bahrawy,party,2022,2,16,3,FALSE
259627233,2581326,omar kamal,259627232,elbanat,eng,FALSE,2/16/2022,EGA252201477,elbanat,takwene,takwene,omar kamal,pop,2022,2,16,3,FALSE
